"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.7883211678832116","0.012967300731929289","0.5591836734693878","0.23225806451612904","33","3","false","""LKT__s__Bacteroides_uniformis""","24.322580645161292","0","33","2","0.9835766423357665","false","0","""LKT__s__Bacteroides_uniformis""","2230","0.18016726403823177"
"1.7007299270072993","0.02200729244360022","0.5879828326180258","0.17682926829268292","47","2","false","""LKT__s__Bacteroides_vulgatus""","22.878048780487806","0","47","6","0.9854014598540145","false","0","""LKT__s__Bacteroides_vulgatus""","3640","0.16699305679188178"
"1.7445255474452555","0.01710312057997529","0.5732217573221757","0.20317460317460317","39","3","false","""LKT__s__Bacteroides_Unclassified""","24.083333333333332","0","39","3","0.9844890510948905","false","0","""LKT__s__Bacteroides_Unclassified""","2720","0.17708333333333334"
"1.781021897810219","0.010291034775455015","0.5614754098360656","0.23218390804597702","36","2","false","""LKT__s__Bacteroides_ovatus""","24.666666666666668","0","36","6","0.983728710462287","false","0","""LKT__s__Bacteroides_ovatus""","1754","0.18004866180048662"
"1.7956204379562044","0.013734910622364907","0.556910569105691","0.1839080459770115","32","3","false","""LKT__s__Lachnospiraceae_bacterium""","22.366666666666667","0","32","2","0.9834245742092458","false","0","""LKT__s__Lachnospiraceae_bacterium""","2158","0.165679012345679"
"1.7956204379562044","0.010088585881896284","0.556910569105691","0.23891625615763548","30","3","false","""LKT__s__Bacteroides_dorei""","25.379310344827587","0","30","1","0.9834245742092458","false","0","""LKT__s__Bacteroides_dorei""","1842","0.18773946360153257"
"1.948905109489051","0.004634098582811789","0.5131086142322098","0.15789473684210525","23","3","false","""LKT__s__Alistipes_putredinis""","23.0","0","23","4","0.9802311435523113","false","0","""LKT__s__Alistipes_putredinis""","826","0.18505942275042445"
"1.781021897810219","0.018323338636832446","0.5614754098360656","0.13548387096774195","36","3","false","""LKT__f__Lachnospiraceae""","20.70967741935484","0","36","5","0.983728710462287","false","0","""LKT__f__Lachnospiraceae""","2512","0.15316606929510154"
"1.802919708029197","0.012062762145586147","0.5546558704453441","0.18783068783068782","32","3","false","""LKT__s__Bacteroides_xylanisolvens""","23.178571428571427","0","32","4","0.9832725060827251","false","0","""LKT__s__Bacteroides_xylanisolvens""","1984","0.17043067226890757"
"1.9124087591240877","0.004435886896082764","0.5229007633587786","0.24561403508771928","20","3","false","""LKT__s__Parabacteroides_merdae""","24.68421052631579","0","20","1","0.9809914841849148","false","0","""LKT__s__Parabacteroides_merdae""","806","0.18987854251012146"
"1.854014598540146","0.007046470538210696","0.5393700787401575","0.2246376811594203","28","3","false","""LKT__s__Alistipes_finegoldii""","24.5","0","28","4","0.9822080291970803","false","0","""LKT__s__Alistipes_finegoldii""","1206","0.18421052631578946"
"1.8102189781021898","0.011885755794396503","0.5524193548387096","0.18719211822660098","30","3","false","""LKT__s__Ruminococcus_torques""","23.96551724137931","0","30","1","0.9831204379562043","false","0","""LKT__s__Ruminococcus_torques""","1882","0.1799325900959295"
"1.8686131386861313","0.004206853124048224","0.53515625","0.2571428571428571","22","3","false","""LKT__s__Firmicutes_bacterium""","26.142857142857142","0","22","1","0.981903892944039","false","0","""LKT__s__Firmicutes_bacterium""","816","0.19509594882729211"
"1.7956204379562044","0.012310952127187158","0.556910569105691","0.18226600985221675","31","3","false","""LKT__s__Flavonifractor_plautii""","23.724137931034484","0","31","2","0.9834245742092458","false","0","""LKT__s__Flavonifractor_plautii""","1984","0.17547892720306513"
"1.854014598540146","0.007447919337675952","0.5393700787401575","0.20652173913043478","26","3","false","""LKT__f__Ruminococcaceae""","24.625","0","26","2","0.9822080291970803","false","0","""LKT__f__Ruminococcaceae""","1254","0.18515037593984962"
"1.897810218978102","0.0030947269647046403","0.5269230769230769","0.2982456140350877","21","3","false","""LKT__s__Coprococcus_comes""","28.105263157894736","0","21","2","0.9812956204379563","false","0","""LKT__s__Coprococcus_comes""","614","0.21291866028708134"
"1.9197080291970803","0.0026600520185866925","0.5209125475285171","0.2679738562091503","21","3","false","""LKT__s__Bacteroides_plebeius""","27.666666666666668","0","21","3","0.9808394160583941","false","0","""LKT__s__Bacteroides_plebeius""","508","0.2140396210163652"
"1.905109489051095","0.005484843313630967","0.524904214559387","0.23333333333333334","23","3","false","""LKT__s__Dorea_formicigenerans""","25.333333333333332","0","23","2","0.9811435523114356","false","0","""LKT__s__Dorea_formicigenerans""","894","0.19872515935508062"
"1.8102189781021898","0.009503480851326206","0.5524193548387096","0.20899470899470898","32","3","false","""LKT__g__Blautia""","24.678571428571427","0","32","4","0.9831204379562043","false","0","""LKT__g__Blautia""","1596","0.1828042328042328"
"2.021897810218978","0.002176284163810484","0.49458483754512633","0.24761904761904763","16","3","false","""LKT__s__Clostridium_symbiosum""","24.533333333333335","0","16","1","0.9787104622871046","false","0","""LKT__s__Clostridium_symbiosum""","346","0.20734463276836157"
"1.7883211678832116","0.012113151207704292","0.5591836734693878","0.1956989247311828","33","3","false","""LKT__f__Clostridiaceae""","25.483870967741936","0","33","2","0.9835766423357665","false","0","""LKT__f__Clostridiaceae""","2220","0.18876941457586618"
